title,description,link,pubDate,creator
"Could Math Beat Viruses like COVID-19?","A simulation designed to deepen understanding of infectious agents and public health emergencies such as the Ebola outbreak is highlighted in a National Geographic Society video featuring cadets at the Sarasota Military Academy (SMA) and computational geneticist and National Geographic Explorer Dr. Pardis Sabeti. The video, “Virtually Viral,” highlights the hundreds of SMA cadets and...",https://blog.nationalgeographic.org/2020/07/13/could-math-beat-viruses-like-covid-19/,"13 Jul 2020 13:11:57","Lexie de los Santos"
"The Royal Canadian Geographical Society and National Geographic Society Join Forces to Launch The Trebek Council","In building upon decades of collaboration, The Royal Canadian Geographical Society and the National Geographic Society announced today a renewed partnership to work together toward common goals and increase their impact and influence. The two iconic organizations realize that they cannot empower the next generation of planetary stewards alone. To truly engage individuals and youth in the...",https://blog.nationalgeographic.org/2020/07/08/the-royal-canadian-geographical-society-and-national-geographic-society-join-forces-to-launch-the-trebek-council/,"08 Jul 2020 14:41:40","Chelsey Perry"
"Economic Benefits of Protecting 30% of Planet’s Land and Ocean Outweigh the Costs at Least 5-to-1","First-of-its-kind report shows the global economy is better off with more nature protected WASHINGTON, D.C. JULY 8, 2020: In the most comprehensive report to date on the economic implications of protecting nature, over 100 economists and scientists find that the global economy would benefit from the establishment of far more protected areas on land and...",https://blog.nationalgeographic.org/2020/07/08/economic-benefits-of-protecting-30-of-planets-land-and-ocean-outweigh-the-costs-at-least-5-to-1/,"08 Jul 2020 13:08:00","Mary Price"
"Juneteenth May Be Over, but Explorer Gretchen Johnson Is Moving Forward With a Powerful Mantra","Gretchen Johnson is a biologist conducting research on human skeletal and dental remains of previously enslaved, mid-19th-century Africans who were liberated by British antislavery efforts but subsequently died on the South Atlantic island of St. Helena. Her research is unlocking and preserving the history of this population on St. Helena island by researching the DNA...",https://blog.nationalgeographic.org/2020/06/25/juneteenth-may-be-over-but-explorer-gretchen-johnson-is-moving-forward-with-a-powerful-mantra/,"25 Jun 2020 20:51:47","Raquel Fereshetian"
"Learn About The Work of Explorer and Photojournalist Bradley Secker, Who Documents LGBTQ+ Asylum Seekers","Bradley Secker is a photojournalist and National Geographic Explorer based in Istanbul, Turkey. His work focuses on themes of identity and migration—covering stories about how identity shapes lives in challenging and unexpected ways, particularly within sexual and ethnic minority groups. Bradley’s current project, called “Gayropa,” documents LGBTQ+ people that have migrated to various European countries...",https://blog.nationalgeographic.org/2020/06/17/learn-about-the-work-of-explorer-and-photojournalist-bradley-secker-who-documents-lgbtq-asylum-seekers/,"17 Jun 2020 15:34:38","Raquel Fereshetian"
"National Geographic Museum Receives American Alliance of Museums Excellence in Exhibition Award for “Becoming Jane: The Evolution of Dr. Jane Goodall”","On June 4, 2020 the National Geographic Museum was honored as an overall award winner by the American Alliance of Museums (AAM) for its “Becoming Jane: The Evolution of Dr. Jane Goodall” exhibition, produced in partnership with the Jane Goodall Institute. The honor was granted as part of the AAM’s 32nd Annual Excellence in Exhibition...",https://blog.nationalgeographic.org/2020/06/10/national-geographic-museum-receives-american-alliance-of-museums-excellence-in-exhibition-award-for-becoming-jane-the-evolution-of-dr-jane-goodall/,"10 Jun 2020 13:12:50","Lexie de los Santos"
"Black Lives Matter. Silence Is Not An Option.","In far too many places in the U.S. and around the globe, Black scientists, educators, storytellers, and explorers face racism and discrimination. The National Geographic Society is committed to work with and to elevate and support Black Explorers, educators, and storytellers; and pursuing systemic change within our organization to foster a more diverse, equitable, and...",https://blog.nationalgeographic.org/2020/06/05/black-lives-matter-silence-is-not-an-option/,"05 Jun 2020 16:01:32","Kara Solarz"
"30 Days of Hope: Stories of Biodiversity, Balance, and Restoration","Today, on the International Day for Biological Diversity, we draw the 30 Days of Hope to a close. Together with the Wyss Foundation’s Campaign for Nature, we’ve shared a story of the hope and strength found in nature every day for the past 30 days. In that time, we’ve traveled virtually around the globe, checking...",https://blog.nationalgeographic.org/2020/05/22/30-days-of-hope-stories-of-biodiversity-balance-and-restoration/,"22 May 2020 15:38:55","Mary Price"
"5 Explorers Open Up About How Their Organizations Are Impacted by Coronavirus — and How to Keep Their Work Going","As the founder of Wildlife Conservation Association, one of the ways Explorer Vanessa Bézy inspires more people to care about sea turtles is through hosting hands-on, educational events—like watching mass-nesting events on Costa Rica’s beaches. Her fellow Explorer, Ashli Akins, also founded an organization that works closely with the community: Her nonprofit, Mosqoy, aims to...",https://blog.nationalgeographic.org/2020/05/19/5-explorers-open-up-about-how-their-organizations-are-impacted-by-coronavirus-and-how-to-keep-their-work-going/,"19 May 2020 21:22:17","Kara Solarz"
"30 Days of Hope: Stories of Nature Resilience in the Sea and on Land","Right now, people around the world are discussing the concepts of strength and resilience. How do we rebound from moments of adversity? Where can we look for inspiration? Here at the National Geographic Society, we find inspiration and hope in the tenacity of nature. Nature has an astounding ability to persevere, thrive, and adapt when...",https://blog.nationalgeographic.org/2020/05/15/30-days-of-hope-stories-of-nature-resilience-in-the-sea-and-on-land/,"15 May 2020 18:13:16","Mary Price"
